entity_name,columns,display_name,linked_to
p_pricing_action_detail,patype,Price Action Type,x_pricing_action_type
p_pricing_action_detail,prcregcd,Pricing Action Region,p_pricing_region
p_pricing_action_detail,attr,Attribute Changes,x_yes_no_flag
sro_rules,pl,Private Label,x_yes_no_flag
sro_rules,srocat,SRO Category Name,sro_attributes
sro_rules,srogrp,SRO Group Name,x_sro_group_name
prcdsc_additions,paname,Pricing Action Name,p_pricing_action_detail
prcdsc_additions,prcapp,Pricing Manager Approval,x_approval_status
prcdsc_additions,valid,Validation,x_validation
prcdsc_additions,prcregcd,Region Code,p_pricing_region
part,dwatt_1,DW - 1 Digit,x_dw_1_digit
part,dwatt_3,DW - 3 Digit,x_dw_3_digit
promos_additions,edapp,Executive Director Approval,x_approval_status
promos_additions,peffdt,Pricing Action,p_pricing_action_detail
promos_additions,paapp,Pricing Analyst Approval,x_approval_status
promos_additions,pdap,Pricing Director Approval,x_approval_status
promos_additions,pdl1vapp,Product Director LV1 Approval,x_approval_status
promos_additions,pdl2vapp,Product Director LV2 Approval,x_approval_status
promos_additions,pmleadap,Product Manager Leader Approval,x_approval_status
promos_additions,prfds,Region Code,p_pricing_region
promos_additions,valid,Validation,x_validation
promos_additions,prcmapp,Pricing Manager Approval,x_approval_status
promos_additions,pmapp,Product Manager Approval,x_approval_status
local_pricing,prodcd3,Product Code - 3 Digit,x_product_code_3_digit
local_pricing,prodcd1,Product Code - 1 Digit,x_product_code_1_digit
local_pricing,regcd,Region Code,p_pricing_region
local_pricing,sysflag,Review Flag - System,x_yes_no_flag
local_pricing,userflag,Review Flag - User,x_yes_no_flag
local_pricing,pamethod,Pricing Action,p_pricing_action_detail
local_pricing,seg,Segment,x_segment_type
local_pricing,regpric,Regional Pricing Flag,x_yes_no_flag
local_pricing,curprcm,Current Pricing Method,x_pricing_method
local_pricing,prcmeth,Future Pricing Method,x_pricing_method
local_pricing,paowner,Pricing Action Owner,p_pricing_region
local_pricing,paapp,Pricing Analyst Approval,x_approval_status
local_pricing,pmapp,Product Manager Approval,x_approval_status
local_pricing,pmlapp,Product Manager Lead Approval,x_approval_status
local_pricing,prcmapp,Pricing Manager Approval,x_approval_status
local_pricing,pdapp,Pricing Director Approval,x_approval_status
local_pricing,pmdl1app,Product Manager Director LVL1 Approval,x_approval_status
local_pricing,pmdl2app,Product Manager Director LVL2 Approval,x_approval_status
local_pricing,edapp,Executive Director Approval,x_approval_status
local_pricing,ninter,New Internal or External,x_interplant
local_pricing,ndomes,New International or Domestic,x_yes_no_flag
local_pricing,nkit,New KIT Flag,x_yes_no_flag
list_price,segment,Segment Type,x_segment_type
list_price,rsegflag,Ready For Segmentation Flag,x_yes_no_flag
list_price,pmethod,Pricing Method,x_pricing_method
list_price,international,International,x_yes_no_flag
list_price,interorev,Interplant or External Vendor,x_interplant
list_price,kitflag,KIT Flag,x_yes_no_flag
list_price,paapp,Pricing Analyst Approval,x_approval_status
list_price,pdl1vapp,Product Director LV1 Approval,x_approval_status
list_price,pdl2vapp,Product Director LV2 Approval,x_approval_status
list_price,pmleadap,Product Manager Leader Approval,x_approval_status
list_price,pmapp,Pricing Manager Approval,x_approval_status
list_price,pmaapp,Prcng Manager Approval,x_approval_status
list_price,edapp,Executive Director Approval,x_approval_status
list_price,pdapp,Pricing Director Approval,x_approval_status
list_price,rejection_reason,Rejection Reason,x_rejection_reason
fcp_sp,regcd,Region Code,p_pricing_region
tcc_recc,user,User Recommendations,x_recc
tcc_recc,regcode,Region Code,p_pricing_region
tcc_recc,rec,Recommendations,x_recc
supplier,inter,Internal or EV,x_interplant
supplier,dom,Intl,x_yes_no_flag
sro_attributes,app,Application,x_yes_no_flag
sro_attributes,axleapp,Axle Application,x_yes_no_flag
sro_attributes,axlemod,Axle Model,x_yes_no_flag
sro_attributes,axleser,Axle Series,x_yes_no_flag
sro_attributes,bpw,Backing Plate Width,x_yes_no_flag
sro_attributes,beardm,Bearing Diameter,x_yes_no_flag
sro_attributes,bodydm,Body Diameter,x_yes_no_flag
sro_attributes,bcd,Bolt Circle Diameter,x_yes_no_flag
sro_attributes,bhd,Bolt Hole Diameter,x_yes_no_flag
sro_attributes,bore,Bore,x_yes_no_flag
sro_attributes,brakesz,Brake Size,x_yes_no_flag
sro_attributes,brtype,Brake Type,x_yes_no_flag
sro_attributes,brand,Brand,x_yes_no_flag
sro_attributes,bushtype,Bushing Type,x_yes_no_flag
sro_attributes,cssc,Camshaft Spline Count,x_yes_no_flag
sro_attributes,ctype,Cartridge Type,x_yes_no_flag
sro_attributes,cte,Center to End,x_yes_no_flag
sro_attributes,ctelen,Center to End Length,x_yes_no_flag
sro_attributes,chmbrty,Chamber Type,x_yes_no_flag
sro_attributes,class,Class,x_yes_no_flag
sro_attributes,clutch,Clutch Size,x_yes_no_flag
sro_attributes,collst,Collar Style,x_yes_no_flag
sro_attributes,colllen,Collasped Length,x_yes_no_flag
sro_attributes,compty,Component Type,x_yes_no_flag
sro_attributes,conntype,Connector Type,x_yes_no_flag
sro_attributes,convst,Convoluted Style,x_yes_no_flag
sro_attributes,crosslen,Cross Length,x_yes_no_flag
sro_attributes,efflen,Effective Length,x_yes_no_flag
sro_attributes,exlen,Extended Length,x_yes_no_flag
sro_attributes,flngdm,Flange Diameter,x_yes_no_flag
sro_attributes,fmsi,FMSI,x_yes_no_flag
sro_attributes,frictmix,Friction Mix,x_yes_no_flag
sro_attributes,gawr,GAWR,x_yes_no_flag
sro_attributes,genafter,Geniune/ Aftermaket,x_yes_no_flag
sro_attributes,grade,Grade,x_yes_no_flag
sro_attributes,headsty,Head Style,x_yes_no_flag
sro_attributes,headty,Head Type,x_yes_no_flag
sro_attributes,hubsty,Hub Style,x_yes_no_flag
sro_attributes,hubtype,Hub Type,x_yes_no_flag
sro_attributes,hubcaps,Hubcaps,x_yes_no_flag
sro_attributes,indnum,Industry Number,x_yes_no_flag
sro_attributes,isdm,Input Shaft Diameter,x_yes_no_flag
sro_attributes,indm,Inside Diameter,x_yes_no_flag
sro_attributes,kpdm,Kin Pin Diameter,x_yes_no_flag
sro_attributes,kplen,King Pin Length,x_yes_no_flag
sro_attributes,kptype,King Pin Type,x_yes_no_flag
sro_attributes,ltapdm,Large Taper Diameter,x_yes_no_flag
sro_attributes,lorr,Left or Right,x_yes_no_flag
sro_attributes,len,Length,x_yes_no_flag
sro_attributes,lrank,Lining Rank,x_yes_no_flag
sro_attributes,loorunlo,LOADED OR UNLOADED,x_yes_no_flag
sro_attributes,model,Model,x_yes_no_flag
sro_attributes,norrem,New (Service Exch) or Reman,x_yes_no_flag
sro_attributes,noaxles,Number of Axles,x_yes_no_flag
sro_attributes,nospline,Number of Splines,x_yes_no_flag
sro_attributes,oeman,OE Manufacturer,x_yes_no_flag
sro_attributes,oem,OEM,x_yes_no_flag
sro_attributes,odm,Outside Diameter,x_yes_no_flag
sro_attributes,odmmm,Outside Diameter (mm),x_yes_no_flag
sro_attributes,oasslen,Overall Assembly Length,x_yes_no_flag
sro_attributes,ptype,Part Type,x_yes_no_flag
sro_attributes,position,Position,x_yes_no_flag
sro_attributes,ratio,Ratio,x_yes_no_flag
sro_attributes,roddm,Rod Thread Diameter,x_yes_no_flag
sro_attributes,sensor,Sensor Type,x_yes_no_flag
sro_attributes,series,Series,x_yes_no_flag
sro_attributes,singletr,Single Tires,x_yes_no_flag
sro_attributes,ssc,Slack Spline Count,x_yes_no_flag
sro_attributes,stapdm,Small Taper Diameter,x_yes_no_flag
sro_attributes,spintype,Spindle Type,x_yes_no_flag
sro_attributes,spldm,Spline Diameter,x_yes_no_flag
sro_attributes,splen,Spline Length,x_yes_no_flag
sro_attributes,sctre,Stud Center to Rod End,x_yes_no_flag
sro_attributes,sthrddm,Stud Thread Diameter,x_yes_no_flag
