SPRICED_TABLE_NAME,Table_Display_Name,TABLE_SCHEMA,COLUMN_NAME,DISPLAY_NAME,DATA_TYPE,SIZE,POS,IS_NULLABLE,IS_REF_COLUMN,PRIMARY_KEY,AUTOGEN,Ref
x_yes_no_flag,x_yes_no_flag,spriced,code,Code,char,30,0,no,FALSE,UK,true,
x_yes_no_flag,x_yes_no_flag,spriced,name,Name,char,200,0,yes,FALSE,,,
x_validation,x_validation,spriced,code,Code,char,50,0,no,FALSE,UK,true,
x_validation,x_validation,spriced,name,Name,char,50,0,yes,FALSE,,,
x_customer_sub_type,x_customer_sub_type,spriced,code,Code,char,3,0,no,FALSE,UK,true,
x_customer_sub_type,x_customer_sub_type,spriced,name,Customer Sub Type Description,char,30,0,yes,FALSE,,,
x_sub_brand,x_sub_brand,spriced,code,Code,char,30,0,no,FALSE,UK,true,
x_sub_brand,x_sub_brand,spriced,name,Name,char,200,0,yes,FALSE,,,
x_status,x_status,spriced,code,Status,char,23,0,no,FALSE,UK,true,
x_status,x_status,spriced,name,Name,char,200,0,yes,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,code,Code,numeric,23,0,no,FALSE,UK,true,
bill_of_materials,Bill Of Materials,spriced,name,Name,char,23,0,yes,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,assemb,Assembly Part No.,char,23,0,no,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,lineno,Line No.,numeric,0,0,yes,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,compnt,Component,char,23,0,yes,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,comst,Status,char,1,0,yes,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,comqty,Qty Per,decimal,63,3,yes,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,crtdat,Date Bill Created,datetime,0,0,yes,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,revdat,Date Bill Revised,datetime,0,0,yes,FALSE,,,
bill_of_materials,Bill Of Materials,spriced,revnum,Revision No,char,99,0,yes,FALSE,,,
p_pricing_action_detail,Pricing Action,spriced,patype,Price Action Type,numeric,0,0,yes,TRUE,FK,,x_pricing_action_type
p_pricing_action_detail,Pricing Action,spriced,prcregcd,Pricing Action Region,numeric,0,0,yes,TRUE,FK,,p_pricing_region
p_pricing_action_detail,Pricing Action,spriced,name,Price Action Name,char,200,0,yes,FALSE,,,
p_pricing_action_detail,Pricing Action,spriced,code,Code,char,23,0,no,FALSE,UK,true,
p_pricing_action_detail,Pricing Action,spriced,paowner,Pricing Action Owner,char,200,0,yes,FALSE,,,
p_pricing_action_detail,Pricing Action,spriced,tapdt,Target Approval Date,datetime,0,0,yes,FALSE,,,
p_pricing_action_detail,Pricing Action,spriced,effdt,Effective Date,datetime,0,0,yes,FALSE,,,
p_pricing_action_detail,Pricing Action,spriced,app,Approved,char,200,0,yes,FALSE,,,
p_pricing_action_detail,Pricing Action,spriced,attr,Attribute Changes,numeric,0,0,yes,TRUE,,,x_yes_no_flag
sro_rules,SRO Rules,spriced,code,Code,char,30,0,no,FALSE,UK,true,
sro_rules,SRO Rules,spriced,name,Attribute Value,char,200,0,yes,FALSE,,,
sro_rules,SRO Rules,spriced,ruleno,Rule Priority,numeric,50,0,yes,FALSE,,,
sro_rules,SRO Rules,spriced,attr,Attribute,char,80,0,yes,FALSE,,,
sro_rules,SRO Rules,spriced,mult,Multiplier,decimal,63,4,yes,FALSE,,,
sro_rules,SRO Rules,spriced,form,Formula,char,80,0,yes,FALSE,,,
sro_rules,SRO Rules,spriced,notes,Notes,char,80,0,yes,FALSE,,,
sro_rules,SRO Rules,spriced,pl,Private Label,numeric,80,0,yes,TRUE,FK,,x_yes_no_flag
sro_rules,SRO Rules,spriced,srocat,SRO Category Name,numeric,0,0,yes,TRUE,FK,,sro_attributes
sro_rules,SRO Rules,spriced,srogrp,SRO Group Name,numeric,0,0,yes,TRUE,FK,,x_sro_group_name
prcdsc_additions,PRCDSC Additions,spriced,name,Name,char,25,0,yes,FALSE,,true,
prcdsc_additions,PRCDSC Additions,spriced,paname,Pricing Action Name,numeric,0,0,yes,TRUE,FK,,p_pricing_action_detail
prcdsc_additions,PRCDSC Additions,spriced,prcapp,Pricing Manager Approval,numeric,0,0,yes,TRUE,FK,,x_approval_status
prcdsc_additions,PRCDSC Additions,spriced,prcsoldt,Sold To,char,6,0,yes,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,code,Code,char,23,0,no,FALSE,UK,true,
prcdsc_additions,PRCDSC Additions,spriced,prcshipt,Ship To,char,6,0,yes,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,prcbrnd,Brand    ,char,3,0,yes,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,prcprod,Product Code,char,5,0,yes,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,prcchain,Chain Code,char,6,0,yes,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,prcdscp,Discount Percentage,decimal,63,5,yes,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,prcstdt, Start Date,datetime,0,0,yes,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,prceddt,End Date,datetime,0,0,yes,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,valid,Validation,numeric,0,0,yes,TRUE,FK,,x_validation
prcdsc_additions,PRCDSC Additions,spriced,effdt,Effective Date,datetime,0,0,no,FALSE,,,
prcdsc_additions,PRCDSC Additions,spriced,prcregcd,Region Code,numeric,0,0,yes,TRUE,,,p_pricing_region
part,Part,spriced,name,Name,char,25,0,yes,FALSE,,true,
part,Part,spriced,dwatt_1,DW - 1 Digit,numeric,0,0,yes,TRUE,FK,,x_dw_1_digit
part,Part,spriced,dwatt_3,DW - 3 Digit,numeric,0,0,yes,TRUE,FK,,x_dw_3_digit
part,Part,spriced,endprodt,Last Production Date,datetime,0,0,yes,FALSE,,,
part,Part,spriced,part_num,Compressed Part Number,char,23,0,no,FALSE,,,
part,Part,spriced,code,Code,numeric,23,0,no,FALSE,UK,true,
part,Part,spriced,unpck,Unit Pack,numeric,0,0,yes,FALSE,,,
part,Part,spriced,new_reman,New / Reman,char,50,0,yes,FALSE,,,
part,Part,spriced,flo_wgt,Weight,numeric,0,0,yes,FALSE,,,
part,Part,spriced,cat_code,Catalog Code,char,200,0,yes,FALSE,,,
